variable,level,count,percentage,attrition_rate
Attrition,No,1233,83.87755102040816,0.0
Attrition,Yes,237,16.122448979591837,100.0
BusinessTravel,Travel_Rarely,1043,70.95238095238095,14.956855225311601
BusinessTravel,Travel_Frequently,277,18.843537414965986,24.90974729241877
BusinessTravel,Non-Travel,150,10.204081632653061,8.0
Department,Research & Development,961,65.37414965986395,13.839750260145681
Department,Sales,446,30.34013605442177,20.62780269058296
Department,Human Resources,63,4.285714285714286,19.047619047619047
Education,3,572,38.91156462585034,17.307692307692307
Education,4,398,27.074829931972786,14.572864321608039
Education,2,282,19.183673469387756,15.602836879432624
Education,1,170,11.564625850340136,18.235294117647058
Education,5,48,3.2653061224489797,10.416666666666668
EducationField,Life Sciences,606,41.224489795918366,14.686468646864686
EducationField,Medical,464,31.564625850340132,13.577586206896552
EducationField,Marketing,159,10.816326530612246,22.0125786163522
EducationField,Technical Degree,132,8.979591836734693,24.242424242424242
EducationField,Other,82,5.578231292517007,13.414634146341465
EducationField,Human Resources,27,1.8367346938775513,25.925925925925924
EnvironmentSatisfaction,3,453,30.816326530612244,13.686534216335541
EnvironmentSatisfaction,4,446,30.34013605442177,13.452914798206278
EnvironmentSatisfaction,2,287,19.523809523809526,14.982578397212542
EnvironmentSatisfaction,1,284,19.319727891156464,25.352112676056336
Gender,Male,882,60.0,17.006802721088434
Gender,Female,588,40.0,14.795918367346939
JobInvolvement,3,868,59.04761904761905,14.400921658986174
JobInvolvement,2,375,25.510204081632654,18.933333333333334
JobInvolvement,4,144,9.795918367346939,9.027777777777777
JobInvolvement,1,83,5.646258503401361,33.734939759036145
JobLevel,1,543,36.93877551020408,26.335174953959484
JobLevel,2,534,36.3265306122449,9.737827715355806
JobLevel,3,218,14.829931972789115,14.678899082568808
JobLevel,4,106,7.210884353741497,4.716981132075472
JobLevel,5,69,4.6938775510204085,7.246376811594203
JobRole,Sales Executive,326,22.176870748299322,17.484662576687114
JobRole,Research Scientist,292,19.86394557823129,16.095890410958905
JobRole,Laboratory Technician,259,17.61904761904762,23.93822393822394
JobRole,Manufacturing Director,145,9.863945578231291,6.896551724137931
JobRole,Healthcare Representative,131,8.91156462585034,6.870229007633588
JobRole,Manager,102,6.938775510204081,4.901960784313726
JobRole,Sales Representative,83,5.646258503401361,39.75903614457831
JobRole,Research Director,80,5.442176870748299,2.5
JobRole,Human Resources,52,3.537414965986395,23.076923076923077
JobSatisfaction,4,459,31.22448979591837,11.328976034858387
JobSatisfaction,3,442,30.068027210884352,16.515837104072396
JobSatisfaction,1,289,19.65986394557823,22.837370242214533
JobSatisfaction,2,280,19.047619047619047,16.428571428571427
MaritalStatus,Married,673,45.78231292517007,12.481426448736999
MaritalStatus,Single,470,31.97278911564626,25.53191489361702
MaritalStatus,Divorced,327,22.244897959183675,10.091743119266056
NumCompaniesWorked,1,521,35.4421768707483,18.809980806142036
NumCompaniesWorked,0,197,13.401360544217686,11.6751269035533
NumCompaniesWorked,3,159,10.816326530612246,10.062893081761008
NumCompaniesWorked,2,146,9.931972789115646,10.95890410958904
NumCompaniesWorked,4,139,9.455782312925171,12.23021582733813
NumCompaniesWorked,7,74,5.034013605442176,22.972972972972975
NumCompaniesWorked,6,70,4.761904761904762,22.857142857142858
NumCompaniesWorked,5,63,4.285714285714286,25.396825396825395
