variable,chi2,pvalue,dof
OverTime,87.56429365828768,8.158423721538322e-21,1
JobRole,86.19025367670434,2.7524816380506567e-15,8
JobLevel,72.5290131066739,6.634684715458957e-15,4
StockOptionLevel,60.59830108612225,4.379390336108354e-13,3
MaritalStatus,46.163676540848705,9.455511060340833e-11,2
YearsWithCurrManager,74.6171841152656,3.40833711883961e-09,17
YearsInCurrentRole,64.30094425056491,4.0560190505203795e-07,18
JobInvolvement,28.492021234659283,2.8631806367134195e-06,3
BusinessTravel,24.182413685655174,5.608614476449931e-06,2
EnvironmentSatisfaction,22.503881435842295,5.1234689062894205e-05,3
JobSatisfaction,17.505077010348,0.0005563004510387556,3
WorkLifeBalance,16.3250970916474,0.0009725698845348822,3
NumCompaniesWorked,25.744404417151316,0.0022491782946850534,9
Department,10.79600732241067,0.004525606574479634,2
EducationField,16.024674119585427,0.006773980139025213,5
TrainingTimesLastYear,15.146451478483337,0.01914772986009514,6
YearsSinceLastPromotion,21.844969938120684,0.11193387671448679,15
RelationshipSatisfaction,5.241067859713709,0.15497244371052638,3
Gender,1.1169671241970975,0.29057244902890855,1
PercentSalaryHike,13.352748467459849,0.4989552229272689,14
Education,3.0739613982367193,0.5455253376565949,4
PerformanceRating,0.00015475439428271534,0.9900745465934576,1
